#labels: abs_yz_lower[1] abs_yz_center[2] abs_yz_upper[3] tot_scale01[4] tot_scale01_Err[5] tot_scale02[6] tot_scale02_Err[7] tot_scale03[8] tot_scale03_Err[9] tot_scale04[10] tot_scale04_Err[11] tot_scale05[12] tot_scale05_Err[13] tot_scale06[14] tot_scale06_Err[15] tot_scale07[16] tot_scale07_Err[17]
#neval: 4800000000
#overflow:lower center upper 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 
0.00000000000E+00 2.00000000000E-01 4.00000000000E-01 3.06981538917E+05 1.14960210608E+01 2.73870977739E+05 1.02574620265E+01 3.36434380554E+05 1.25977409641E+01 2.73870977739E+05 1.02574620265E+01 3.36434380554E+05 1.25977409641E+01 3.06981538917E+05 1.14960210608E+01 3.06981538917E+05 1.14960210608E+01 
4.00000000000E-01 6.00000000000E-01 8.00000000000E-01 3.03336962197E+05 1.14099263147E+01 2.71071372353E+05 1.01976792454E+01 3.31992399749E+05 1.24865295137E+01 2.71071372353E+05 1.01976792454E+01 3.31992399749E+05 1.24865295137E+01 3.03336962197E+05 1.14099263147E+01 3.03336962197E+05 1.14099263147E+01 
8.00000000000E-01 1.00000000000E+00 1.20000000000E+00 2.95993824065E+05 1.12937933434E+01 2.65324796664E+05 1.01250607532E+01 3.23146714582E+05 1.23285452064E+01 2.65324796664E+05 1.01250607532E+01 3.23146714582E+05 1.23285452064E+01 2.95993824065E+05 1.12937933434E+01 2.95993824065E+05 1.12937933434E+01 
1.20000000000E+00 1.40000000000E+00 1.60000000000E+00 2.85314724621E+05 1.11242020895E+01 2.56877538697E+05 1.00169673289E+01 3.10383831399E+05 1.21003390683E+01 2.56877538697E+05 1.00169673289E+01 3.10383831399E+05 1.21003390683E+01 2.85314724621E+05 1.11242020895E+01 2.85314724621E+05 1.11242020895E+01 
1.60000000000E+00 1.80000000000E+00 2.00000000000E+00 2.71846117694E+05 1.09009197413E+01 2.46116926614E+05 9.87065301756E+00 2.94397992101E+05 1.18040376431E+01 2.46116926614E+05 9.87065301756E+00 2.94397992101E+05 1.18040376431E+01 2.71846117694E+05 1.09009197413E+01 2.71846117694E+05 1.09009197413E+01 
2.00000000000E+00 2.20000000000E+00 2.40000000000E+00 2.54746008905E+05 1.06052283908E+01 2.32250529180E+05 9.67004295091E+00 2.74274259532E+05 1.14171814629E+01 2.32250529180E+05 9.67004295091E+00 2.74274259532E+05 1.14171814629E+01 2.54746008905E+05 1.06052283908E+01 2.54746008905E+05 1.06052283908E+01 
2.40000000000E+00 2.60000000000E+00 2.80000000000E+00 2.28086415486E+05 1.01143300281E+01 2.09855514536E+05 9.30705422092E+00 2.43635154077E+05 1.08029974537E+01 2.09855514536E+05 9.30705422092E+00 2.43635154077E+05 1.08029974537E+01 2.28086415486E+05 1.01143300281E+01 2.28086415486E+05 1.01143300281E+01 
2.80000000000E+00 3.00000000000E+00 3.20000000000E+00 1.82164705526E+05 9.18010268839E+00 1.69676243851E+05 8.55193119267E+00 1.92477727954E+05 9.69901955483E+00 1.69676243851E+05 8.55193119267E+00 1.92477727954E+05 9.69901955483E+00 1.82164705526E+05 9.18010268839E+00 1.82164705526E+05 9.18010268839E+00 
3.20000000000E+00 3.40000000000E+00 3.60000000000E+00 1.14301731110E+05 8.46973467644E+00 1.08374514074E+05 8.05530075130E+00 1.18861795180E+05 8.78425938395E+00 1.08374514074E+05 8.05530075130E+00 1.18861795180E+05 8.78425938395E+00 1.14301731110E+05 8.46973467644E+00 1.14301731110E+05 8.46973467644E+00 
#nx: 3
